entry_time,exit_time,side,qty_pct,pnl_pct
2025-12-29 02:05:00,2025-12-29 02:10:00,TP2,100.0,-0.6309041153326238
2025-12-29 02:15:00,2025-12-29 02:20:00,TP2,100.0,-0.6217074853495682
2025-12-29 02:25:00,2025-12-29 02:30:00,TP2,100.0,-0.7472661607440619
2025-12-29 02:35:00,2025-12-29 02:40:00,TP2,100.0,-0.5970110240004126
2025-12-29 02:45:00,2025-12-29 02:50:00,TP2,100.0,-0.831388630697317
2025-12-29 02:55:00,2025-12-29 03:00:00,TP2,100.0,-0.7671471523675074
2025-12-29 03:35:00,2025-12-29 03:40:00,TP2,100.0,-1.5992739695730456
2025-12-29 03:45:00,2025-12-29 03:50:00,TP2,100.0,-1.5982562158990732
2025-12-29 03:55:00,2025-12-29 04:00:00,TP2,100.0,-1.8245101678011177
2025-12-29 04:05:00,2025-12-29 04:10:00,TP2,100.0,-1.7816475885935656
2025-12-29 04:15:00,2025-12-29 04:20:00,TP2,100.0,-1.8605215383333102
2025-12-29 04:25:00,2025-12-29 04:30:00,TP2,100.0,-1.7884614580580196
2025-12-29 04:35:00,2025-12-29 04:40:00,TP2,100.0,-2.0380462060820657
2025-12-29 04:45:00,2025-12-29 04:50:00,TP2,100.0,-1.9294650114534708
2025-12-29 04:55:00,2025-12-29 05:00:00,TP2,100.0,-1.8457586566656592
2025-12-29 05:05:00,2025-12-29 05:10:00,TP2,100.0,-1.874376751449719
2025-12-29 05:15:00,2025-12-29 05:20:00,TP2,100.0,-1.796669552413285
2025-12-29 05:25:00,2025-12-29 05:30:00,TP2,100.0,-1.7654976682242338
2025-12-29 05:35:00,2025-12-29 05:40:00,TP2,100.0,-1.7941625774962828
2025-12-29 05:45:00,2025-12-29 05:50:00,TP2,100.0,-1.7704598902205784
2025-12-29 05:55:00,2025-12-29 06:00:00,TP2,100.0,-1.672256549312457
2025-12-29 06:05:00,2025-12-29 06:10:00,TP2,100.0,-1.6403714323436809
2025-12-29 06:15:00,2025-12-29 06:20:00,TP2,100.0,-1.8219392501733762
2025-12-29 06:25:00,2025-12-29 06:30:00,TP2,100.0,-1.6399012536722115
2025-12-29 06:35:00,2025-12-29 06:40:00,TP2,100.0,-1.606572725784243
2025-12-29 06:45:00,2025-12-29 06:50:00,TP2,100.0,-1.5282981525081605
2025-12-29 06:55:00,2025-12-29 07:00:00,TP2,100.0,-1.4458264078602048
2025-12-29 07:05:00,2025-12-29 07:10:00,TP2,100.0,-1.2704766310773707
2025-12-29 07:15:00,2025-12-29 07:20:00,TP2,100.0,-1.2362578279796215
2025-12-29 07:25:00,2025-12-29 07:30:00,TP2,100.0,-1.1695926029061208
2025-12-29 07:35:00,2025-12-29 07:40:00,TP2,100.0,-1.3327369532755204
2025-12-29 07:45:00,2025-12-29 07:50:00,TP2,100.0,-1.3066313116485515
2025-12-29 07:55:00,2025-12-29 08:00:00,TP2,100.0,-1.270366463652472
2025-12-29 08:05:00,2025-12-29 08:10:00,TP2,100.0,-1.1583533623076012
2025-12-29 08:15:00,2025-12-29 08:20:00,TP2,100.0,-1.3900614337341477
2025-12-29 08:25:00,2025-12-29 08:30:00,TP2,100.0,-1.4590417046722988
2025-12-29 08:35:00,2025-12-29 08:40:00,TP2,100.0,-1.2907322413637778
2025-12-29 08:45:00,2025-12-29 08:50:00,TP2,100.0,-1.4524015708200821
2025-12-29 08:55:00,2025-12-29 09:00:00,TP2,100.0,-1.2013423393344738
2025-12-29 09:05:00,2025-12-29 09:10:00,TP2,100.0,-1.1353590554203479
2025-12-29 09:15:00,2025-12-29 09:20:00,TP2,100.0,-1.1266864742792146
2025-12-29 09:25:00,2025-12-29 09:30:00,TP2,100.0,-0.9479472195478601
2025-12-29 09:35:00,2025-12-29 09:40:00,TP2,100.0,-0.06124614731348792
2026-01-02 09:45:00,2026-01-02 10:05:00,TP1,50.0,0.09206944417591591
2026-01-02 09:45:00,2026-01-02 10:05:00,SL,50.0,0.09999999999999337
2026-01-02 10:10:00,2026-01-02 10:15:00,TP2,100.0,-0.034243847136864534
2026-01-02 10:20:00,2026-01-02 10:25:00,TP1,50.0,-0.21115108118067893
2026-01-02 10:20:00,2026-01-02 10:25:00,SL,50.0,0.09999999999998498
2026-01-02 10:30:00,2026-01-02 10:35:00,TP1,50.0,-0.0451931688508189
2026-01-02 10:30:00,2026-01-02 10:35:00,SL,50.0,0.09999999999998818
2026-01-02 10:40:00,2026-01-02 10:45:00,TP1,50.0,-0.15271334439383122
2026-01-02 10:40:00,2026-01-02 10:45:00,SL,50.0,0.09999999999998402
2026-01-02 10:50:00,2026-01-02 10:55:00,TP1,50.0,-0.07341885868903916
2026-01-02 10:50:00,2026-01-02 10:55:00,SL,50.0,0.09999999999998513
2026-01-02 11:00:00,2026-01-02 11:05:00,TP1,50.0,-0.0268507512350258
2026-01-02 11:00:00,2026-01-02 11:05:00,SL,50.0,0.09999999999999694
2026-01-02 11:10:00,2026-01-02 11:45:00,TP1,50.0,0.037557188848028535
2026-01-02 11:10:00,2026-01-02 11:45:00,SL,50.0,0.09999999999998282
2026-01-02 11:50:00,2026-01-02 11:55:00,TP1,50.0,0.021157005079347906
2026-01-02 11:50:00,2026-01-02 11:55:00,SL,50.0,0.09999999999999122
2026-01-02 12:00:00,2026-01-02 12:15:00,TP1,50.0,0.1317164311761806
2026-01-02 12:00:00,2026-01-02 12:15:00,SL,50.0,0.0999999999999894
2026-01-02 12:20:00,2026-01-02 13:15:00,TP1,50.0,0.07124581801627561
2026-01-02 12:20:00,2026-01-02 13:15:00,SL,50.0,0.0999999999999962
2026-01-02 13:20:00,2026-01-02 13:25:00,TP1,50.0,0.006325503368811904
2026-01-02 13:20:00,2026-01-02 13:25:00,SL,50.0,0.09999999999999035
2026-01-02 13:30:00,2026-01-02 14:45:00,TP1,50.0,0.11529655342165622
2026-01-02 13:30:00,2026-01-02 14:45:00,SL,50.0,0.099999999999994
2026-01-02 14:50:00,2026-01-02 14:55:00,TP1,50.0,-0.1527912624200468
2026-01-02 14:50:00,2026-01-02 14:55:00,SL,50.0,0.09999999999999423
2026-01-02 15:05:00,2026-01-02 15:35:00,TP1,50.0,0.20005047830203587
2026-01-02 15:05:00,2026-01-02 15:35:00,SL,50.0,0.09999999999998768
2026-01-02 15:40:00,2026-01-02 15:45:00,TP2,100.0,0.05284957864613466
2026-01-02 15:50:00,2026-01-02 15:55:00,TP1,50.0,-0.008847662564778187
2026-01-02 15:50:00,2026-01-02 15:55:00,SL,50.0,0.09999999999999291
2026-01-02 16:20:00,2026-01-02 16:25:00,TP2,100.0,-0.2407003946405266
2026-01-02 16:30:00,2026-01-02 16:35:00,TP2,100.0,-1.0314635524063336
2026-01-02 16:40:00,2026-01-02 16:45:00,TP2,100.0,-0.37102749799932216
2026-01-02 16:50:00,2026-01-02 16:55:00,TP2,100.0,-0.38311770737395845
2026-01-02 17:00:00,2026-01-02 17:05:00,TP2,100.0,-0.9317962860820073
2026-01-02 17:10:00,2026-01-02 17:15:00,TP2,100.0,-0.9066540140723399
2026-01-02 17:20:00,2026-01-02 17:25:00,TP2,100.0,-0.9072116549746698
2026-01-02 17:30:00,2026-01-02 17:35:00,TP2,100.0,-0.7104786834651423
2026-01-02 17:40:00,2026-01-02 17:45:00,TP2,100.0,-0.7887635614250013
2026-01-02 17:50:00,2026-01-02 17:55:00,TP2,100.0,-0.6000207569084507
2026-01-02 18:00:00,2026-01-02 18:05:00,TP2,100.0,-0.8186650115336692
2026-01-02 18:10:00,2026-01-02 18:15:00,TP2,100.0,-0.6054994364105429
2026-01-02 18:20:00,2026-01-02 18:25:00,TP2,100.0,-0.6083705513355468
2026-01-02 18:30:00,2026-01-02 18:35:00,TP2,100.0,-0.36434015297864186
2026-01-02 18:40:00,2026-01-02 18:45:00,TP2,100.0,-0.23086999668419406
2026-01-02 18:50:00,2026-01-02 18:55:00,TP2,100.0,0.10805752579737642
2026-01-02 19:00:00,2026-01-02 19:05:00,TP2,100.0,0.1146530917168227
2026-01-02 19:10:00,2026-01-02 19:15:00,TP2,100.0,-0.1971415548822493
2026-01-02 19:20:00,2026-01-02 19:25:00,TP2,100.0,-0.1451515767105326
2026-01-02 19:30:00,2026-01-02 19:35:00,TP2,100.0,-0.16248018746699383
2026-01-02 19:40:00,2026-01-02 19:45:00,TP2,100.0,-0.21839911732224618
2026-01-02 19:50:00,2026-01-02 19:55:00,TP2,100.0,-0.16350128882979637
2026-01-02 20:00:00,2026-01-02 20:05:00,TP2,100.0,-0.11890854163275744
2026-01-02 20:10:00,2026-01-02 20:15:00,TP2,100.0,-0.29440641867574796
2026-01-02 20:20:00,2026-01-02 20:25:00,TP2,100.0,-0.2237425780070685
2026-01-02 20:30:00,2026-01-02 20:35:00,TP2,100.0,-0.08846133934636369
2026-01-02 20:40:00,2026-01-02 20:45:00,TP2,100.0,-0.10736523590264867
2026-01-02 20:50:00,2026-01-02 20:55:00,TP1,50.0,-0.10851423221121413
2026-01-02 20:50:00,2026-01-02 20:55:00,SL,50.0,0.09999999999999461
2026-01-02 21:00:00,2026-01-02 21:05:00,TP2,100.0,-0.005203577923771898
2026-01-02 21:10:00,2026-01-02 21:15:00,TP2,100.0,-0.008599344230423588
2026-01-02 21:20:00,2026-01-02 21:25:00,TP2,100.0,-0.12602873078425192
2026-01-02 21:30:00,2026-01-02 21:35:00,TP2,100.0,-0.1834085914684062
2026-01-02 21:40:00,2026-01-02 21:45:00,TP2,100.0,-0.16472214347784084
2026-01-02 21:50:00,2026-01-02 21:55:00,TP2,100.0,-0.33084571068308116
2026-01-02 22:00:00,2026-01-02 22:05:00,TP2,100.0,-0.4758736833737248
2026-01-02 22:10:00,2026-01-02 22:15:00,TP2,100.0,-0.3535943071028134
2026-01-02 22:20:00,2026-01-02 22:25:00,TP2,100.0,-0.3891617117465853
2026-01-02 22:30:00,2026-01-02 22:35:00,TP2,100.0,-0.2927902121898192
2026-01-02 22:40:00,2026-01-02 22:45:00,TP2,100.0,-0.5561915915318102
2026-01-02 22:50:00,2026-01-02 22:55:00,TP2,100.0,-0.5105713249625404
2026-01-02 23:00:00,2026-01-02 23:05:00,TP2,100.0,-0.414600364466872
2026-01-02 23:10:00,2026-01-02 23:15:00,TP2,100.0,-0.313774679572573
2026-01-02 23:20:00,2026-01-02 23:25:00,TP2,100.0,-0.16180314135186785
2026-01-02 23:30:00,2026-01-02 23:35:00,TP2,100.0,-0.14303087880634405
2026-01-02 23:40:00,2026-01-02 23:45:00,TP2,100.0,-0.17790547134169188
2026-01-02 23:50:00,2026-01-02 23:55:00,TP2,100.0,-0.19411352827817027
2026-01-04 00:05:00,2026-01-04 00:10:00,TP1,50.0,0.1586242092213321
2026-01-04 00:05:00,2026-01-04 00:10:00,SL,50.0,0.0999999999999893
2026-01-04 00:15:00,2026-01-04 00:55:00,TP1,50.0,0.22263250241542376
2026-01-04 00:15:00,2026-01-04 01:00:00,SL,50.0,0.09999999999999208
2026-01-04 01:05:00,2026-01-04 01:10:00,TP1,50.0,0.002822893623522873
2026-01-04 01:05:00,2026-01-04 01:10:00,SL,50.0,0.09999999999999638
2026-01-04 01:15:00,2026-01-04 04:15:00,TP1,50.0,0.27900946920615705
2026-01-04 01:15:00,2026-01-04 06:05:00,TP2,50.0,0.560670424389177
2026-01-04 06:10:00,2026-01-04 06:15:00,TP2,100.0,-0.01650848879946325
2026-01-04 06:20:00,2026-01-04 06:25:00,TP2,100.0,-0.00458583408574887
2026-01-04 06:30:00,2026-01-04 06:35:00,TP1,50.0,-0.13415509062734585
2026-01-04 06:30:00,2026-01-04 06:35:00,SL,50.0,0.09999999999998645
2026-01-04 06:40:00,2026-01-04 07:35:00,TP1,50.0,0.12261433077037749
2026-01-04 06:40:00,2026-01-04 07:35:00,SL,50.0,0.09999999999998174
2026-01-04 07:40:00,2026-01-04 07:45:00,TP1,50.0,-0.101114135463206
2026-01-04 07:40:00,2026-01-04 07:45:00,SL,50.0,0.09999999999998327
2026-01-04 07:50:00,2026-01-04 07:55:00,TP1,50.0,-0.05941882397965775
2026-01-04 07:50:00,2026-01-04 07:55:00,SL,50.0,0.09999999999998346
2026-01-04 08:00:00,2026-01-04 08:40:00,TP1,50.0,0.11102251119425935
2026-01-04 08:00:00,2026-01-04 08:40:00,SL,50.0,0.09999999999999609
2026-01-04 08:45:00,2026-01-04 08:50:00,TP1,50.0,-0.0418323510295297
2026-01-04 08:45:00,2026-01-04 08:50:00,SL,50.0,0.0999999999999943
2026-01-04 08:55:00,2026-01-04 09:00:00,TP1,50.0,0.025357047918690062
2026-01-04 08:55:00,2026-01-04 09:00:00,SL,50.0,0.0999999999999963
2026-01-04 09:05:00,2026-01-04 09:15:00,TP1,50.0,0.11033169279793581
2026-01-04 09:05:00,2026-01-04 09:15:00,SL,50.0,0.09999999999999064
