time,open,high,low,close,volume,close_time,qav,trades,tbb,tbq,ign
2025-12-28 00:00:00,87877.0,87961.37,87877.0,87901.26,30.93811000,2025-12-28 00:04:59.999,2720062.19937310,11404,18.56292000,1631990.63422820,0
2025-12-28 00:05:00,87901.26,87917.0,87808.69,87829.46,27.50086000,2025-12-28 00:09:59.999,2416381.40787900,6820,6.53977000,574540.22923930,0
2025-12-28 00:10:00,87829.45,87858.95,87815.11,87815.12,9.03980000,2025-12-28 00:14:59.999,794071.19268750,3439,2.55457000,224389.72089510,0
2025-12-28 00:15:00,87815.12,87822.14,87778.03,87802.3,9.78983000,2025-12-28 00:19:59.999,859602.97935740,4617,5.58129000,490059.22818970,0
2025-12-28 00:20:00,87802.3,87821.8,87778.05,87783.37,6.69014000,2025-12-28 00:24:59.999,587390.12028330,4472,2.30088000,202015.66662790,0
2025-12-28 00:25:00,87783.38,87803.02,87705.97,87736.45,32.28224000,2025-12-28 00:29:59.999,2833128.59678790,9280,7.45006000,653746.49145140,0
2025-12-28 00:30:00,87736.44,87804.47,87718.03,87804.46,13.20699000,2025-12-28 00:34:59.999,1159085.97614720,5720,7.31705000,642188.07854490,0
2025-12-28 00:35:00,87804.47,87887.15,87804.46,87887.15,20.95955000,2025-12-28 00:39:59.999,1841086.42027720,2558,11.19595000,983553.79456110,0
2025-12-28 00:40:00,87887.15,87900.0,87830.62,87885.99,18.60799000,2025-12-28 00:44:59.999,1635037.10671550,7069,11.93227000,1048492.95830370,0
2025-12-28 00:45:00,87885.99,87943.65,87885.99,87902.61,14.79298000,2025-12-28 00:49:59.999,1300417.53489220,4358,10.97473000,964761.26656160,0
2025-12-28 00:50:00,87902.62,87919.65,87854.0,87866.97,12.98952000,2025-12-28 00:54:59.999,1141663.18682890,4816,4.57231000,401874.57684280,0
2025-12-28 00:55:00,87866.97,87866.98,87840.61,87854.96,8.37981000,2025-12-28 00:59:59.999,736199.30204090,2962,2.13828000,187844.61369860,0
2025-12-28 01:00:00,87854.97,87945.39,87854.96,87945.39,27.87324000,2025-12-28 01:04:59.999,2449791.63265850,4570,21.81986000,1917724.36846710,0
2025-12-28 01:05:00,87945.38,87945.39,87890.39,87890.4,13.32973000,2025-12-28 01:09:59.999,1171834.34968340,5298,3.26538000,287092.95865270,0
2025-12-28 01:10:00,87890.4,87905.62,87856.62,87856.63,9.47538000,2025-12-28 01:14:59.999,832679.15631160,3043,3.28500000,288668.54224120,0
2025-12-28 01:15:00,87856.62,87856.63,87739.06,87826.94,21.00804000,2025-12-28 01:19:59.999,1844239.69455280,11144,7.82364000,686881.51532210,0
2025-12-28 01:20:00,87826.95,87837.27,87804.39,87805.5,15.15879000,2025-12-28 01:24:59.999,1331394.29492600,4616,9.50270000,834647.73524330,0
2025-12-28 01:25:00,87805.5,87805.51,87792.67,87805.51,6.99650000,2025-12-28 01:29:59.999,614293.49110070,2161,3.91879000,344066.39889610,0
2025-12-28 01:30:00,87805.51,87821.52,87756.1,87821.51,9.96733000,2025-12-28 01:34:59.999,874968.74321410,3831,5.36528000,470989.35273740,0
2025-12-28 01:35:00,87821.52,87850.0,87803.1,87824.31,16.79705000,2025-12-28 01:39:59.999,1475316.63488050,5657,9.48297000,832966.53044030,0
2025-12-28 01:40:00,87824.31,87864.69,87821.93,87821.94,13.40743000,2025-12-28 01:44:59.999,1177679.10175990,4112,9.53867000,837840.24376520,0
2025-12-28 01:45:00,87821.93,87821.94,87798.0,87817.74,4.36217000,2025-12-28 01:49:59.999,383051.33688480,2547,1.53915000,135148.32656280,0
2025-12-28 01:50:00,87817.74,87817.75,87787.89,87787.9,9.37302000,2025-12-28 01:54:59.999,822993.24224750,3654,2.23841000,196536.63633230,0
2025-12-28 01:55:00,87787.89,87787.9,87775.46,87785.96,5.47116000,2025-12-28 01:59:59.999,480249.07923610,1994,1.48486000,130335.84870500,0
2025-12-28 02:00:00,87785.97,87785.97,87755.8,87755.81,9.83183000,2025-12-28 02:04:59.999,862934.72784070,2995,0.81979000,71951.98119680,0
2025-12-28 02:05:00,87755.8,87779.37,87755.8,87770.45,12.39238000,2025-12-28 02:09:59.999,1087708.94374730,2813,4.32146000,379293.56251790,0
2025-12-28 02:10:00,87770.45,87799.37,87770.45,87787.3,9.65602000,2025-12-28 02:14:59.999,847683.88212760,2303,4.26992000,374860.38678460,0
2025-12-28 02:15:00,87787.29,87808.14,87787.29,87806.16,13.80977000,2025-12-28 02:19:59.999,1212458.14653270,1369,10.09601000,886402.72426500,0
2025-12-28 02:20:00,87806.17,87815.92,87802.0,87809.01,13.05826000,2025-12-28 02:24:59.999,1146633.43175120,1931,5.91412000,519309.43782930,0
2025-12-28 02:25:00,87809.0,87809.01,87809.0,87809.0,2.58600000,2025-12-28 02:29:59.999,227074.08824460,749,1.42446000,125080.42238460,0
2025-12-28 02:30:00,87809.0,87872.67,87809.0,87866.84,13.91927000,2025-12-28 02:34:59.999,1222628.88226360,3911,7.00070000,614953.75053830,0
2025-12-28 02:35:00,87866.84,87866.85,87846.22,87849.99,7.27233000,2025-12-28 02:39:59.999,638905.44025690,2016,3.26534000,286858.38565040,0
2025-12-28 02:40:00,87850.0,87850.0,87842.77,87842.77,6.07857000,2025-12-28 02:44:59.999,533980.07531660,1397,2.05744000,180742.45660000,0
2025-12-28 02:45:00,87842.77,87842.78,87806.78,87806.79,7.21091000,2025-12-28 02:49:59.999,633368.65700890,3045,1.78846000,157095.44759940,0
2025-12-28 02:50:00,87806.78,87810.78,87806.78,87810.77,5.85897000,2025-12-28 02:54:59.999,514465.44119520,1147,2.89361000,254079.70721050,0
2025-12-28 02:55:00,87810.78,87810.79,87810.77,87810.78,3.29932000,2025-12-28 02:59:59.999,289715.87555660,806,1.80895000,158845.32486740,0
2025-12-28 03:00:00,87810.79,87810.79,87810.78,87810.78,6.52871000,2025-12-28 03:04:59.999,573291.14002230,990,2.25285000,197824.53825150,0
2025-12-28 03:05:00,87810.79,87845.45,87799.8,87806.63,28.05149000,2025-12-28 03:09:59.999,2463422.06285600,5492,13.57208000,1191797.17308470,0
2025-12-28 03:10:00,87806.64,87806.64,87781.0,87781.01,13.25786000,2025-12-28 03:14:59.999,1163917.03414660,2091,1.24979000,109714.61349880,0
2025-12-28 03:15:00,87781.0,87810.94,87781.0,87786.88,20.20972000,2025-12-28 03:19:59.999,1774323.72991080,3159,11.65156000,1022899.56756830,0
2025-12-28 03:20:00,87786.88,87802.68,87765.99,87766.0,19.80152000,2025-12-28 03:24:59.999,1738147.83110800,2203,3.56781000,313197.82266990,0
2025-12-28 03:25:00,87766.0,87766.0,87725.47,87735.44,34.28347000,2025-12-28 03:29:59.999,3008187.54895900,2364,8.86582000,777846.97045380,0
2025-12-28 03:30:00,87735.44,87778.04,87735.44,87778.04,22.39319000,2025-12-28 03:34:59.999,1965312.56142870,2704,16.98931000,1491078.92855050,0
2025-12-28 03:35:00,87778.04,87778.04,87758.0,87777.33,12.27661000,2025-12-28 03:39:59.999,1077541.66522970,2028,6.31389000,554168.81982890,0
