time,open,high,low,close,volume,close_time,qav,trades,tbb,tbq,ign
2025-12-29 20:00:00,87366.23,87597.59,87085.8,87212.01,665.46040000,1767041999999,58090700.64647650,178859,364.03841000,31775623.10453460,0
2025-12-29 21:00:00,87212.01,87371.62,87173.31,87337.85,221.04149000,1767045599999,19294585.88681120,64986,131.58169000,11485037.93764630,0
2025-12-29 22:00:00,87337.85,87404.29,87071.49,87351.05,310.53727000,1767049199999,27093518.53126770,75542,149.81863000,13071458.25189690,0
2025-12-29 23:00:00,87351.05,87395.07,87188.0,87237.13,191.09860000,1767052799999,16681562.50519270,45078,88.30643000,7709127.84728320,0
2025-12-30 00:00:00,87237.13,87359.4,87105.09,87250.23,230.51064000,1767056399999,20107883.50392780,84788,112.15293000,9784520.33018260,0
2025-12-30 01:00:00,87250.22,87356.62,87117.87,87308.23,239.57935000,1767059999999,20901541.69898550,84406,97.89468000,8540991.47505220,0
2025-12-30 02:00:00,87308.23,87347.7,86986.82,87111.0,471.28819000,1767063599999,41060302.71872540,140391,158.31849000,13797052.51148360,0
2025-12-30 03:00:00,87110.99,87423.65,86845.66,87379.0,579.19187000,1767067199999,50472444.30217070,141836,273.12491000,23822553.18899590,0
2025-12-30 04:00:00,87378.99,87492.66,87294.67,87300.0,292.49013000,1767070799999,25565112.14636120,73565,174.81843000,15281657.04279820,0
2025-12-30 05:00:00,87300.01,87359.43,87157.07,87255.97,140.45208000,1767074399999,12256235.05662670,54038,66.48043000,5801233.22012150,0
2025-12-30 06:00:00,87255.98,87527.42,87241.91,87443.17,234.42509000,1767077999999,20493423.90817980,60913,132.66333000,11596238.10021240,0
2025-12-30 07:00:00,87443.17,87600.0,87369.98,87502.85,410.22407000,1767081599999,35889450.60017740,81234,247.37132000,21643828.90241610,0
2025-12-30 08:00:00,87502.85,88224.76,87502.84,87872.68,1026.69682000,1767085199999,90249339.70995850,224475,539.70559000,47437327.85740300,0
2025-12-30 09:00:00,87872.68,88046.37,87657.44,87992.7,436.16992000,1767088799999,38314247.59408420,105019,225.36799000,19804890.66881330,0
2025-12-30 10:00:00,87992.7,88179.38,87906.94,87949.51,416.39591000,1767092399999,36657980.41348020,106378,209.37592000,18435013.15014590,0
2025-12-30 11:00:00,87949.52,88026.36,87735.09,87903.89,588.98774000,1767095999999,51760638.58242480,97489,237.10588000,20843794.74748290,0
2025-12-30 12:00:00,87903.89,88090.79,87901.7,88023.54,497.15542000,1767099599999,43745783.74142480,89994,283.41856000,24939653.63042460,0
2025-12-30 13:00:00,88023.53,88136.0,87918.6,88110.02,448.15717000,1767103199999,39448599.17243800,127587,288.39591000,25384773.76586240,0
2025-12-30 14:00:00,88110.02,89010.12,87834.01,88875.83,1626.18161000,1767106799999,143764605.88969390,438625,855.03327000,75622236.89080250,0
2025-12-30 15:00:00,88875.82,89159.52,88204.14,89016.35,1310.95153000,1767110399999,116198817.95690190,445767,569.67781000,50499959.97483990,0
2025-12-30 16:00:00,89016.36,89400.0,88577.42,88742.63,1418.95930000,1767113999999,126318561.14112280,362037,617.19534000,54939414.78553050,0
2025-12-30 17:00:00,88742.63,88900.72,88129.91,88371.34,713.60336000,1767117599999,63143227.69120230,208170,366.08129000,32396232.25840070,0
2025-12-30 18:00:00,88371.34,88493.62,88132.59,88304.0,434.34765000,1767121199999,38370046.50697500,135879,225.28761000,19903411.82900460,0
2025-12-30 19:00:00,88304.01,88422.22,87960.2,88226.16,345.47514000,1767124799999,30463499.26730660,146725,176.05938000,15526159.54772540,0
2025-12-30 20:00:00,88226.15,88226.15,87886.46,87947.15,439.95021000,1767128399999,38739835.52362610,106907,245.14124000,21588276.49872370,0
2025-12-30 21:00:00,87947.15,88330.13,87891.15,88287.27,253.18432000,1767131999999,22319329.84718130,81650,165.88801000,14621972.00624890,0
2025-12-30 22:00:00,88287.28,88470.0,88287.28,88430.19,280.86597000,1767135599999,24821801.70069140,68564,126.11188000,11145673.07087090,0
2025-12-30 23:00:00,88430.18,88573.65,88371.33,88485.49,270.66652000,1767139199999,23953695.80500900,75739,168.89069000,14946521.94900170,0
2025-12-31 00:00:00,88485.5,88485.5,88251.93,88255.54,243.94750000,1767142799999,21555913.88462940,81429,125.88466000,11123038.38962870,0
2025-12-31 01:00:00,88255.54,88784.0,88172.15,88649.33,355.75740000,1767146399999,31504828.30204610,121981,234.19028000,20739440.12760060,0
2025-12-31 02:00:00,88649.32,88742.0,88521.84,88673.6,258.23398000,1767149999999,22890349.08034350,96189,112.99674000,10015943.71008170,0
2025-12-31 03:00:00,88673.61,88819.8,88379.09,88453.04,274.04184000,1767153599999,24271019.63824490,87109,117.64555000,10420731.15389060,0
2025-12-31 04:00:00,88453.04,88549.5,88325.06,88325.06,158.17484000,1767157199999,13986485.05690990,57895,56.28424000,4977181.07458280,0
2025-12-31 05:00:00,88325.07,88526.06,88325.07,88463.09,296.57164000,1767160799999,26232034.58395990,52160,127.88972000,11311088.22295510,0
